event_id,timestamp,district_id,emergency_type,severity_level,response_time_minutes,ambulance_required,hospital_transport_required,weather_related_flag,traffic_related_flag,outcome,hour_timestamp,traffic_volume,average_speed_kmh,congestion_index,rush_hour_flag,weekend_flag,weather_impact_score,special_event_impact,temperature_c,feels_like_c,humidity_percent,rainfall_mm,wind_speed_kmh,cloud_cover_percent,weather_condition,heatwave_flag,heavy_rain_flag,storm_flag,district_name,district_type,area_km2,population,commercial_activity_index,industrial_activity_index,green_space_percent,road_capacity_index,public_transport_access_index,base_electricity_demand_mwh,temp_offset_c,wind_multiplier,population_density,grid_capacity_mwh,city_event_active,city_event_expected_attendance,severity_score,type_Infrastructure Failure,type_Medical Emergency,type_Public Safety Incident,type_Traffic Accident,type_Weather Emergency,zoning_Industrial,zoning_Mixed,zoning_Public Services,zoning_Recreation,zoning_Residential,zoning_Transport,year,split_set
EMG_000001,2023-01-01 06:31:00,D11,Medical Emergency,Medium,23.23800026191653,1,0,0,0,Resolved On-Site,2023-01-01 06:00:00,1423.0,38.45698478519076,57.1765771956072,0.0,1.0,1.0,0.0,7.707169929888311,8.912543511522589,55.61503357378554,0.0,2.9904065427932003,13.892843717888038,Clear,0,0,0,Old Town,Mixed,4.0,60000,75,5,12,30,80,150,1.2,0.5,15000.0,218.2719185360926,0,0,2,0,1,0,0,0,0,1,0,0,0,0,2023,train
EMG_000002,2023-01-01 07:01:00,D05,Medical Emergency,Low,17.54281427125887,1,0,0,0,Resolved On-Site,2023-01-01 07:00:00,1299.0,49.71188513983196,19.53986586828308,0.0,1.0,1.0,0.0,8.862310259518477,11.514868706910333,60.412815704836966,0.0,19.62776928507524,3.492328249687759,Clear,0,0,0,South Residential,Residential,14.0,160000,35,10,25,65,70,230,0.0,1.0,11428.57142857143,342.4710718254401,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2023,train
EMG_000003,2023-01-01 17:54:00,D07,Traffic Accident,High,13.67591963196682,1,1,0,1,Transported to Hospital,2023-01-01 17:00:00,1498.0,45.26101337313672,33.02399009487874,0.0,1.0,1.0,0.0,3.3283722599045538,3.769763964549404,68.04204211501094,0.0,12.318698011925772,59.16288594288966,Partly Cloudy,0,0,0,West Residential,Residential,11.5,150000,45,5,28,60,65,210,-0.2,1.1,13043.478260869566,307.54938963883046,0,0,3,0,0,0,1,0,0,0,0,0,1,0,2023,train
EMG_000004,2023-01-01 19:09:00,D07,Public Safety Incident,Low,20.66938870730621,0,0,0,0,Resolved On-Site,2023-01-01 19:00:00,1454.0,46.0894547759115,28.85070110039113,0.0,1.0,1.0,0.0,2.1160870938189795,2.8058692397687985,64.88666975951473,0.0,7.733005920337362,13.453213501755506,Clear,0,0,0,West Residential,Residential,11.5,150000,45,5,28,60,65,210,-0.2,1.1,13043.478260869566,307.54938963883046,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2023,train
EMG_000005,2023-01-01 21:51:00,D09,Medical Emergency,Low,19.9894034249938,1,0,0,0,Transported to Hospital,2023-01-01 21:00:00,1326.0,43.54041486703631,31.869945074675776,0.0,1.0,1.0,0.0,0.6660368718218699,1.539807412239618,65.6877071882765,0.0,15.153685998139204,0.0,Clear,0,0,0,University District,Mixed,7.5,85000,60,0,35,50,80,180,-0.3,1.0,11333.333333333334,288.0501755284444,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2023,train
EMG_000006,2023-01-02 00:40:00,D14,Medical Emergency,Medium,12.54237480785736,1,0,0,0,Resolved On-Site,2023-01-02 00:00:00,248.0,58.183203770474165,4.3109382671158105,0.0,0.0,1.0,0.0,0.6510316609836593,0.6924884477693005,39.14184815613933,0.0,5.895499308014957,10.316595179408452,Clear,0,0,0,Medical District,Public Services,3.0,15000,60,10,15,70,85,400,0.5,0.9,5000.0,601.2339110678276,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2023,train
EMG_000008,2023-01-02 06:08:00,D05,Medical Emergency,High,13.222127651470862,1,1,0,0,Resolved On-Site,2023-01-02 06:00:00,1904.0,43.37290889227584,37.674582357881626,0.0,0.0,1.0,0.0,2.2241825199176266,3.627269775207085,62.76346784665285,2.022733431902116,10.077442310899832,100.0,Rain,0,0,0,South Residential,Residential,14.0,160000,35,10,25,65,70,230,0.0,1.0,11428.57142857143,342.4710718254401,0,0,3,0,1,0,0,0,0,0,0,0,1,0,2023,train
EMG_000007,2023-01-02 06:11:00,D05,Public Safety Incident,Medium,18.24757459452934,0,0,0,0,Transported to Hospital,2023-01-02 06:00:00,1904.0,43.37290889227584,37.674582357881626,0.0,0.0,1.0,0.0,2.2241825199176266,3.627269775207085,62.76346784665285,2.022733431902116,10.077442310899832,100.0,Rain,0,0,0,South Residential,Residential,14.0,160000,35,10,25,65,70,230,0.0,1.0,11428.57142857143,342.4710718254401,0,0,2,0,0,1,0,0,0,0,0,0,1,0,2023,train
EMG_000009,2023-01-02 06:34:00,D19,Medical Emergency,Low,21.90136239040635,1,0,0,0,Transported to Hospital,2023-01-02 06:00:00,1225.0,39.316922849222486,38.90655327642668,0.0,0.0,1.0,0.0,1.467237821409599,4.0776961120485815,98.53517579776025,1.7625252913188514,12.041076061968072,100.0,Rain,0,0,0,Hillside,Residential,9.0,90000,20,0,45,45,40,160,-1.0,1.2,10000.0,249.27780074568463,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2023,train
EMG_000013,2023-01-02 07:04:00,D11,Public Safety Incident,Medium,34.748895123838885,0,0,0,0,Resolved On-Site,2023-01-02 07:00:00,3938.0,8.163255083150002,120.0,1.0,0.0,1.0,0.0,7.070139649760833,6.5604247190651535,66.30321382995496,0.0,5.937913161284362,31.03300550353795,Partly Cloudy,0,0,0,Old Town,Mixed,4.0,60000,75,5,12,30,80,150,1.2,0.5,15000.0,218.2719185360926,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2023,train
